study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	nominal_length	read_count	base_count	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB42858	SAMEA7993265	ERS5680536	ERX5046712	ERR5243651	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1122426	203226939	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243651/ERR5243651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243651/ERR5243651_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/001/ERR5243651.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243651/COL_INS_S_Ty0324_122_09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243651/COL_INS_S_Ty0324_122_09_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993266	ERS5680537	ERX5046713	ERR5243652	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	685430	161381246	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243652/ERR5243652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243652/ERR5243652_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/002/ERR5243652.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243652/COL_INS_GMR_S_470_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243652/COL_INS_GMR_S_470_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993267	ERS5680538	ERX5046714	ERR5243653	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1069266	167268530	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243653/ERR5243653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243653/ERR5243653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/003/ERR5243653.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243653/COL_INS_S_Ty83_68_00_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243653/COL_INS_S_Ty83_68_00_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993268	ERS5680539	ERX5046715	ERR5243654	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	607686	144962507	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243654/ERR5243654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243654/ERR5243654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/004/ERR5243654.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243654/COL_INS_GMR_S_416_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243654/COL_INS_GMR_S_416_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993269	ERS5680540	ERX5046716	ERR5243655	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	661148	157951263	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243655/ERR5243655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243655/ERR5243655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/005/ERR5243655.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243655/COL_INS_S_Ty_312_2005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243655/COL_INS_S_Ty_312_2005_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993270	ERS5680541	ERX5046717	ERR5243656	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	895688	204252271	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243656/ERR5243656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243656/ERR5243656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/006/ERR5243656.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243656/COL_INS_S_Ty833_631_14_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243656/COL_INS_S_Ty833_631_14_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993271	ERS5680542	ERX5046718	ERR5243657	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	589222	141869924	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243657/ERR5243657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243657/ERR5243657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/007/ERR5243657.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243657/COL_INS_GMR_S_421_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243657/COL_INS_GMR_S_421_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993272	ERS5680543	ERX5046719	ERR5243658	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1182762	211495555	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243658/ERR5243658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243658/ERR5243658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/008/ERR5243658.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243658/COL_INS_S_Ty301_485_08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243658/COL_INS_S_Ty301_485_08_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993273	ERS5680544	ERX5046720	ERR5243659	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1243906	294047906	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243659/ERR5243659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243659/ERR5243659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/009/ERR5243659.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243659/COL_INS_S_Ty1037_743_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243659/COL_INS_S_Ty1037_743_15_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993274	ERS5680545	ERX5046721	ERR5243660	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	945066	146261315	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243660/ERR5243660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243660/ERR5243660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/000/ERR5243660.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243660/COL_INS_S_Ty0115_36_03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243660/COL_INS_S_Ty0115_36_03_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993275	ERS5680546	ERX5046722	ERR5243661	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	940184	217848814	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243661/ERR5243661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243661/ERR5243661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/001/ERR5243661.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243661/COL_INS_S_Ty597_693_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243661/COL_INS_S_Ty597_693_12_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993276	ERS5680547	ERX5046723	ERR5243662	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	594038	142205335	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243662/ERR5243662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243662/ERR5243662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/002/ERR5243662.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243662/COL_INS_GMR_S_119_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243662/COL_INS_GMR_S_119_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993277	ERS5680548	ERX5046724	ERR5243663	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1018472	158138056	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243663/ERR5243663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243663/ERR5243663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/003/ERR5243663.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243663/COL_INS_S_Ty72_12_00_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243663/COL_INS_S_Ty72_12_00_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993278	ERS5680549	ERX5046725	ERR5243664	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	946926	223353649	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243664/ERR5243664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243664/ERR5243664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/004/ERR5243664.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243664/COL_INS_S_Ty1062_1087_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243664/COL_INS_S_Ty1062_1087_15_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993279	ERS5680550	ERX5046726	ERR5243665	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	816760	196665641	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243665/ERR5243665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243665/ERR5243665_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/005/ERR5243665.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243665/COL_INS_S_Ty0140_269_04_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243665/COL_INS_S_Ty0140_269_04_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993280	ERS5680551	ERX5046727	ERR5243666	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1004312	156353269	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243666/ERR5243666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243666/ERR5243666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/006/ERR5243666.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243666/COL_INS_S_Ty0130_69_04_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243666/COL_INS_S_Ty0130_69_04_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993281	ERS5680552	ERX5046728	ERR5243667	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	926344	215090167	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243667/ERR5243667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243667/ERR5243667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/007/ERR5243667.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243667/COL_INS_S_Ty646_252_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243667/COL_INS_S_Ty646_252_12_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993282	ERS5680553	ERX5046729	ERR5243668	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	846306	197126477	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243668/ERR5243668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243668/ERR5243668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/008/ERR5243668.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243668/COL_INS_S_Ty602_755_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243668/COL_INS_S_Ty602_755_12_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993283	ERS5680554	ERX5046730	ERR5243669	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1062698	243178382	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243669/ERR5243669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243669/ERR5243669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/009/ERR5243669.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243669/COL_INS_S_Ty538_7_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243669/COL_INS_S_Ty538_7_12_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993284	ERS5680555	ERX5046731	ERR5243670	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1009868	155672513	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243670/ERR5243670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243670/ERR5243670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/000/ERR5243670.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243670/COL_INS_S_Ty0144_6_05_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243670/COL_INS_S_Ty0144_6_05_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993285	ERS5680556	ERX5046732	ERR5243671	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	666500	158225901	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243671/ERR5243671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243671/ERR5243671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/001/ERR5243671.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243671/COL_INS_GMR_S_647_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243671/COL_INS_GMR_S_647_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993286	ERS5680557	ERX5046733	ERR5243672	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1717970	336449836	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243672/ERR5243672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243672/ERR5243672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/002/ERR5243672.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243672/COL_INS_S_Ty343_320_09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243672/COL_INS_S_Ty343_320_09_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993287	ERS5680558	ERX5046734	ERR5243673	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	918394	143498432	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:572-33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243673/ERR5243673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243673/ERR5243673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/003/ERR5243673.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243673/COL_INS_S_Ty62_49_99_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243673/COL_INS_S_Ty62_49_99_2.fastq.gz		Colombia
